 28 | Dry                  | Kgs    | stock=     1.700 | cp=  420.00 | Jeera Powder
162 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Kadhai Paneer Masala
 44 | Dry                  | Kgs    | stock=    83.600 | cp=   78.00 | Kala Chana
165 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Kala Chana(Expensive)
 56 | Dry                  | Kgs    | stock=     0.260 | cp=  882.00 | Kali Mirch (S)
132 | Dry                  | Pkt    | stock=     0.000 | cp=   65.00 | Kali Mirch Powder
150 | Dry                  | kgs    | stock=     0.000 | cp=  200.00 | Kali Sarson
 24 | Dry                  | Kgs    | stock=     0.600 | cp=  336.00 | Kasuri Methi
159 | Dry                  | Kg     | stock=     0.000 | cp=    0.00 | Kasuri methi (Expensive)
168 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Kevada Water
 52 | Dry                  | Btl    | stock=    10.000 | cp=   70.80 | Kewra Water
 70 | Dry                  | Pkt    | stock=     0.000 | cp= 2100.00 | Khus Khus
 22 | Dry                  | Kgs    | stock=     2.740 | cp=  800.01 | Kitchen King
128 | Fresh                | Kgs    | stock=     0.000 | cp=   30.00 | Kulcha
 59 | Dry                  | Kgs    | stock=    32.600 | cp=   63.87 | LPG
135 | Milk Based Product   | Btl    | stock=     0.000 | cp=    8.00 | Lahori Zeera
141 | Dry                  | Kgs    | stock=    -0.047 | cp=    0.00 | Lal Mirch
143 | Dry                  | Kgs    | stock=     0.000 | cp=    0.00 | Lal Mirch Powder
138 | Milk Based Product   | Pkt    | stock=     0.000 | cp=   16.00 | Lassi
 20 | Dry                  | Kgs    | stock=     0.000 | cp= 1800.00 | Laung
110 | Fresh                | Kgs    | stock=     0.000 | cp=   60.00 | Lemon
 15 | Dry                  | Kgs    | stock=     0.000 | cp=  100.00 | Lobia
133 | Dry                  | Kgs    | stock=     0.000 | cp=   70.00 | Maida
 12 | Dry                  | Kgs    | stock=    12.000 | cp=   85.00 | Masoor Dal (Malka)
155 | Dry                  | kg     | stock=    12.000 | cp=   84.00 | Masoor Dal Malka
108 | Fresh                | Kgs    | stock=     0.000 | cp=  100.00 | Matar
 49 | Dry                  | Kgs    | stock=    12.000 | cp=   60.00 | Matar (Frozen)
 47 | Dry                  | Btl    | stock=     0.000 | cp=   35.00 | Matar Paneer Masala
 31 | Dry                  | Kgs    | stock=     0.240 | cp=  105.00 | Methi Dana
160 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Methi Dana(Expensive)
 39 | Dry                  | Kgs    | stock=     0.500 | cp=  367.50 | Mirchi (S)
 18 | Dry                  | Kgs    | stock=     5.900 | cp=  300.00 | Mirchi Powder
157 | Dry                  | kg     | stock=     0.000 | cp=  315.00 | Mirchi Powder(Expensive)
 13 | Dry                  | Kgs    | stock=    12.000 | cp=  115.00 | Moong Dal Chilka
 57 | Dry                  | Kgs    | stock=     8.000 | cp=  168.00 | Moongphali Dana
170 | Dry                  | kg     | stock=     0.000 | cp=    0.00 | Mungfali Dana
142 | Dry                  | Kgs    | stock=    -0.010 | cp=    0.00 | Mustard Seed
 79 | Packing Material     | Nos    | stock=  9178.000 | cp=    0.35 | Napkin Tissue Paper
 93 | Fresh                | Kgs    | stock=    -0.500 | cp=   24.00 | Onion
 74 | Packing Material     | Nos    | stock=  3577.000 | cp=    3.19 | PP Box (Dal) Mini Meal
151 | Dry                  | kg     | stock=     0.000 | cp=  400.00 | Panch Phuran
